site_id,LAT,LON,eventRemarks,DAY,YEAR,genus,specificEpithet
1591331,44.949075,-93.281209,ripe fruit,185,2021,Rubus,
1591331,44.949075,-93.281209,ripe fruit,177,2017,Rubus,
1591346,39.72762,-85.880478,ripe fruit,177,2017,Rubus,
1591505,39.783497,-85.763113,ripe fruit,184,2017,Rubus,
1591506,39.783507,-85.763059,ripe fruit,184,2017,Rubus,
1591508,39.783571,-85.761155,ripe fruit,184,2017,Rubus,
1591495,39.783928,-85.756179,ripe fruit,184,2017,Rubus,
1591498,39.783435,-85.764207,ripe fruit,184,2017,Rubus,
1591499,39.783448,-85.764036,ripe fruit,184,2017,Rubus,
1591500,39.783448,-85.763977,ripe fruit,184,2017,Rubus,
1591503,39.783475,-85.763586,ripe fruit,184,2017,Rubus,
1591502,39.783446,-85.763798,ripe fruit,184,2017,Rubus,
1591502,39.783446,-85.763798,ripe fruit,184,2017,Rubus,
1591504,39.783488,-85.763409,ripe fruit,184,2017,Rubus,
1591507,39.783563,-85.761328,ripe fruit,184,2017,Rubus,
1591507,39.783563,-85.761328,ripe fruit,184,2017,Rubus,
1591510,39.783588,-85.760849,ripe fruit,184,2017,Rubus,
1591512,39.784587,-85.74014,ripe fruit,184,2017,Rubus,
1813195,43.465085,-88.58459,ripe fruit,192,2022,Rubus,
1591454,39.784115,-85.750099,ripe fruit,181,2017,Rubus,
1591347,39.727606,-85.880178,ripe fruit,177,2017,Rubus,
1591796,45.541724,-94.143806,ripe fruit,195,2017,Rubus,
1809482,42.908602,-76.808758,ripe fruit,182,2021,Rubus,
1515894,39.218944,-86.509878,ripe fruit,178,2016,Rubus,
1516713,38.96333,-77.61083,ripe fruit,199,2016,Rubus,
593976,43.06666181,-89.41755295,ripe fruit,181,2016,Rubus,
1591385,42.085458,-91.766387,ripe fruit,178,2017,Rubus,occidentalis
1763110,42.747114,-73.662357,ripe fruit,198,2019,Rubus,occidentalis
1763116,42.722194,-73.680791,ripe fruit,198,2019,Rubus,occidentalis
1766626,42.97631426,-81.26666896,ripe fruit,197,2020,Rubus,occidentalis
1766699,44.768157,-93.296579,ripe fruit,193,2020,Rubus,occidentalis
1766805,39.757662,-86.440614,ripe fruit,201,2020,Rubus,occidentalis
1766962,42.964973,-87.848185,ripe fruit,192,2020,Rubus,occidentalis
1767024,44.62997331,-88.48640119,ripe fruit,208,2020,Rubus,occidentalis
1767068,42.532018,-70.874488,ripe fruit,207,2020,Rubus,occidentalis
1765950,39.978432,-83.058651,ripe fruit,173,2020,Rubus,occidentalis
1766108,41.48732206,-87.02733972,ripe fruit,179,2020,Rubus,occidentalis
1766467,42.640959,-70.953366,ripe fruit,189,2020,Rubus,occidentalis
1766622,43.64578,-72.251673,ripe fruit,196,2020,Rubus,occidentalis
1774389,42.279827,-71.170932,ripe fruit,169,2021,Rubus,occidentalis
1774603,43.125887,-77.551279,ripe fruit,181,2021,Rubus,occidentalis
1774703,40.147044,-83.029555,ripe fruit,179,2021,Rubus,occidentalis
1774704,40.376048,-83.068962,ripe fruit,179,2021,Rubus,occidentalis
1774839,42.95404098,-85.61276598,ripe fruit,193,2021,Rubus,occidentalis
1775132,42.717126,-73.879417,ripe fruit,203,2021,Rubus,occidentalis
1775234,42.95736379,-85.61169507,ripe fruit,208,2021,Rubus,occidentalis
1775233,42.95736379,-85.61169507,ripe fruit,208,2021,Rubus,occidentalis
1809951,36.062254,-94.23173,ripe fruit,196,2021,Rubus,occidentalis
1810509,41.50175998,-90.48950488,ripe fruit,164,2022,Rubus,occidentalis
1812978,41.97670002,-88.01521851,ripe fruit,189,2022,Rubus,occidentalis
1812976,41.9768234,-88.0149581,ripe fruit,189,2022,Rubus,occidentalis
1812977,41.97670002,-88.01521851,ripe fruit,189,2022,Rubus,occidentalis
1812825,43.0741747,-81.82784816,ripe fruit,184,2022,Rubus,occidentalis
1812975,41.9768234,-88.0149581,ripe fruit,189,2022,Rubus,occidentalis
1813017,43.24687649,-79.85055615,ripe fruit,191,2022,Rubus,occidentalis
1813018,43.24687649,-79.85055615,ripe fruit,191,2022,Rubus,occidentalis
1813019,43.2448024,-79.85190804,ripe fruit,191,2022,Rubus,occidentalis
1812943,41.6543778,-85.4187925,ripe fruit,187,2022,Rubus,occidentalis
1721361,40.083891,-82.91554,ripe fruit,169,2018,Rubus,occidentalis
1721362,40.084857,-82.914219,ripe fruit,169,2018,Rubus,occidentalis
1721364,40.086535,-83.010265,ripe fruit,169,2018,Rubus,occidentalis
1721365,40.102163,-83.115888,ripe fruit,169,2018,Rubus,occidentalis
1721589,41.327689,-85.764132,ripe fruit,179,2018,Rubus,occidentalis
1721643,42.004493,-76.528436,ripe fruit,183,2018,Rubus,occidentalis
1721872,43.1114458,-85.56897588,ripe fruit,193,2021,Rubus,occidentalis
1721884,42.709585,-84.518272,ripe fruit,194,2018,Rubus,occidentalis
1758681,43.142229,-77.615888,ripe fruit,201,2019,Rubus,occidentalis
1758018,41.700282,-85.924847,ripe fruit,182,2019,Rubus,occidentalis
1064222,40.08783781,-83.00982803,ripe fruit,168,2015,Rubus,occidentalis
1064380,41.39504887,-81.74776822,ripe fruit,188,2016,Rubus,occidentalis
1064380,41.39504887,-81.74776822,ripe fruit,181,2015,Rubus,occidentalis
1064438,42.308361,-83.757401,ripe fruit,182,2015,Rubus,occidentalis
1065097,40.80190572,-77.83795563,ripe fruit,189,2015,Rubus,occidentalis
1065098,40.79949361,-77.84114209,ripe fruit,189,2015,Rubus,occidentalis
1065081,41.39380538,-81.78099275,ripe fruit,190,2015,Rubus,occidentalis
1591394,41.388086,-81.768157,ripe fruit,178,2017,Rubus,occidentalis
1766282,44.73837518,-93.34845967,ripe fruit,186,2020,Rubus,occidentalis
1515065,42.32809,-71.103439,ripe fruit,220,2017,Rubus,occidentalis
1515775,39.155595,-86.524559,ripe fruit,173,2016,Rubus,occidentalis
1517438,43.55345244,-70.51529221,ripe fruit,232,2016,Rubus,occidentalis
1517476,43.911807,-78.863376,ripe fruit,190,2016,Rubus,occidentalis
1515971,43.051891,-89.374798,ripe fruit,180,2016,Rubus,occidentalis
1516750,41.503847,-87.533601,ripe fruit,183,2016,Rubus,occidentalis
1516751,41.503501,-87.533782,ripe fruit,183,2016,Rubus,occidentalis
